"seller_id","monthly_orders","monthly_sales","avg_price","seller_tier"
"0015a82c2db000af6aaaf3ae2ecb0532",1.5,1342.5,895.0,medium_seller
"001cca7ae9ae17fb1caed9dfb1094831",11.8,1495.12,131.82,medium_seller
"001e6ad469a905060d959994f1b41e4f",1.0,250.0,250.0,small_seller
"002100f778ceb8431b7a1020ff7ab48f",6.4,154.31,28.38,small_seller
"003554e2dce176b5555353e4f3555ac8",1.0,120.0,120.0,small_seller
"004c9cd9d87a3c30c522c48c4fc07416",9.3,1159.57,129.35,medium_seller
"00720abe85ba0859807595bbf045a33b",1.6,125.94,87.5,small_seller
"00ab3eff1b5192e5f1a63bcecfee11c8",1.0,98.0,98.0,small_seller
"00d8b143d12632bad99c0ad66ad52825",1.0,86.0,86.0,small_seller
"00ee68308b45bc5e2660cd833c3f81cc",11.3,1688.33,136.58,medium_seller
"00fc707aaaad2d31347cf883cd2dfe10",17.2,2114.15,130.0,medium_seller
"010543a62bd80aa422851e79a3bc7540",1.0,708.0,708.0,small_seller
"010da0602d7774602cd1b3f5fb7b709e",1.0,849.5,850.0,small_seller
"01266d4c46afa519678d16a8b683d325",3.0,90.25,30.0,small_seller
"013900e863eace745d3ec7614cab5b1a",3.3,231.39,82.43,small_seller
"014c0679dd340a0e338872e7ec85666a",1.2,588.17,494.08,small_seller
"014d9a685fd57276679edd00e07089e5",2.2,145.98,68.0,small_seller
"0176f73cc1195f367f7b32db1e5b3aa8",4.2,525.9,126.0,small_seller
"01bcc9d254a0143f0ce9791b960b2a47",2.2,304.24,137.4,small_seller
"01c97ebb5cdac52891c0ed1c37ba0012",1.5,96.25,55.0,small_seller
"01cf7e3d21494c41fb86034f2e714fa1",6.7,1073.27,173.11,medium_seller
"01ed254b9ff8407dfb9d99ba1e17d923",1.3,366.5,281.75,small_seller
"01fd077212124329bac32490e8ef80d9",6.2,241.6,37.8,small_seller
"01fdefa7697d26ad920e9e0346d4bd1b",7.6,877.73,108.76,small_seller
"0241d4d5d36f10f80c644447315af0bd",21.6,2854.34,118.45,medium_seller
"0249d282d911d23cb8b869ab49c99f53",2.8,98.25,31.5,small_seller
"024b564ae893ce8e9bfa02c10a401ece",1.0,239.0,239.0,small_seller
"028872bfa080090a9d0abd4f1af168f8",1.0,70.5,70.0,small_seller
"02a2272692e13558373c66db98f05e2e",1.0,27.49,27.5,small_seller
"02b72cdeb9cfcc429f1af6f4e3f3b737",2.0,261.32,130.0,small_seller
"02c988090b766852e088c69d7fb3b551",1.1,134.89,125.42,small_seller
"02d35243ea2e497335cd0f076b45675d",1.8,724.25,507.62,small_seller
"02dcd3e8e25bee036e32512bcf175493",2.3,248.65,122.33,small_seller
"02ecc2a19303f05e59ce133fd923fff7",1.9,478.56,239.0,small_seller
"02f5837340d7eb4f653d676c7256523a",3.8,485.38,123.88,small_seller
